N,S_wide,S_narrow,M_wide,M_narrow,abs_err_wide,abs_err_narrow,rel_err_wide,rel_err_narrow
100,0.7777708763999663,0.8,8,80,0.1667463094994973,0.1445171858994636,0.1765413186639953,0.15300641222514114
600,1.0532313951249543,0.7716666666666666,65,463,0.10871420922549069,0.17285051923279704,0.11510029764250626,0.1830041017921675
1100,0.928022068431778,0.7963636363636364,105,876,0.016495117467685616,0.14815354953582727,0.01746407340590348,0.15685638307866326
1600,0.8385342261187138,0.79875,138,1278,0.1059829597807499,0.1457671858994637,0.1122086091846199,0.15432983970603945
2100,0.972213595499958,0.79,210,1659,0.027696409600494354,0.15451718589946362,0.029323351670005948,0.1635938320723269
2600,0.8936886512480382,0.7857692307692308,239,2043,0.05082853465142545,0.15874795513023288,0.053814303657186965,0.16807312508459782
3100,0.9973029786096342,0.7825806451612903,318,2426,0.05278579271017059,0.16193654073817332,0.055886534938909216,0.17144901453959374
3600,0.996518935387457,0.7994444444444444,369,2878,0.0520017494879933,0.14507274145501925,0.055056435461756086,0.15359460221665155
4100,0.9271597947328867,0.7907317073170732,391,3242,0.017357391166576974,0.15378547858239044,0.01837699877323834,0.16281914281521573
4600,0.9701000876836536,0.783695652173913,459,3605,0.025582901784189982,0.16082153372555064,0.027085692209853636,0.17026850980207447
5100,0.9569631861587821,0.7829411764705883,502,3993,0.012446000259318413,0.1615760094288754,0.013177103016358657,0.1710673049056345
5600,1.0051994139187066,0.7776785714285714,579,4355,0.060682228019242945,0.1668386144708922,0.0642468225302383,0.17663904581260934
6100,1.0168397933261857,0.791311475409836,638,4827,0.07232260742672203,0.1532057104896276,0.07657098092698993,0.1622053179940075
6600,0.9839980027181393,0.7903030303030303,668,5216,0.03948081681867566,0.15421415559643337,0.0417999983569151,0.16327300116786678
7100,0.921548943340101,0.7935211267605634,673,5634,0.022968242559362695,0.15099605913890024,0.024317442712797267,0.15986586733740235
7600,0.9402328851216699,0.7810526315789473,735,5936,0.004284300777793737,0.16346455432051632,0.004535969108612669,0.17306678667244052
8100,0.9206022564795898,0.7824691358024691,767,6338,0.02391492941987383,0.16204805009699452,0.025319739838401824,0.17156707417946682
8600,0.92473339664996,0.7833720930232558,818,6737,0.019783789249503636,0.16114509287620782,0.020945928295273458,0.17061107545941512
9100,0.9209319992538064,0.7915384615384615,862,7203,0.02358518664565723,0.15297872436100213,0.02497062731918113,0.161964998249683
9600,0.9398064756499593,0.7927083333333333,928,7610,0.004710710249504313,0.1518088525661303,0.004987426718994323,0.16072640586371412
10100,0.9385230253588702,0.7845544554455446,975,7924,0.0059941605405934295,0.15996273045391907,0.0063462694274696455,0.16935925872178448
10600,0.9272716462740165,0.7845283018867925,1011,8316,0.01724553962544717,0.1599888840126712,0.01825857685058874,0.16938694859248515
11100,0.927544322193203,0.7794594594594595,1059,8652,0.01697286370626061,0.16505772644000416,0.017969883406724202,0.17475354488422537
11600,0.9386889887585801,0.7887931034482759,1120,9150,0.005828197140883562,0.15572408245118774,0.006170557008270178,0.16487162412284928
12100,0.91596983377682,0.7864462809917355,1140,9516,0.0285473521226437,0.15807090490772813,0.030224280244787773,0.16735630358826897
12600,0.9305472985499598,0.7871428571428571,1206,9918,0.013969887349503884,0.1573743287566065,0.014790506258708635,0.16661880917152286
13100,0.9818615166766751,0.7812977099236641,1323,10235,0.03734433077721144,0.16321947597579956,0.03953801088505175,0.17280731193934354
13600,0.962920377307679,0.7826470588235294,1347,10644,0.018403191408215336,0.1618701270759343,0.019484231396689703,0.17137869960702237
14100,0.9480806339095335,0.7839716312056738,1375,11054,0.003563448010069803,0.16054555469378984,0.0037727720186227546,0.16997631921424736
14600,0.9349232110150281,0.7866438356164384,1404,11485,0.009593974884435585,0.1578733502830253,0.010157544010487478,0.16714714421282076
15100,0.9631996946145279,0.7872185430463576,1496,11887,0.018682508715064272,0.15729864285310602,0.019779956356509195,0.16653867732783553
15600,0.9304582680009214,0.7857051282051282,1493,12257,0.0140589178985423,0.15881205769433548,0.014884766638898152,0.16814099316054135
16100,0.9299434391738728,0.7829813664596273,1540,12606,0.014573746725590864,0.1615358194398363,0.015429837533037883,0.17102475407687343
16600,0.9177462073183338,0.786566265060241,1567,13057,0.026770978581129867,0.15795092083922269,0.028343558995843857,0.16722927141744492
17100,0.9358266539139947,0.7880116959064327,1646,13475,0.008690531985468986,0.15650548999303093,0.00920103108255568,0.16569893309457442
17600,0.9639276841746742,0.788125,1745,13871,0.019410498275210575,0.1563921858994637,0.020550709468272893,0.1655789732936743
18100,0.943745462593053,0.7885082872928176,1757,14272,0.000771723306410621,0.15600889860664602,0.0008170558650827608,0.1651731709445591
18600,0.9429426485386689,0.7856451612903226,1804,14613,0.0015745373607947144,0.15887202460914107,0.0016670288103813407,0.16820448265094007
19100,0.9513440889996971,0.7854973821989529,1869,15003,0.0068269031002334835,0.15901980370051072,0.007227928937822581,0.16836094257943668
19600,0.9171545602446032,0.788826530612245,1849,15461,0.027362625654860473,0.1556906552872187,0.028969960592938333,0.1648362333809252
20100,0.9601213866007048,0.784228855721393,1985,15763,0.015604200701241133,0.16028833017807065,0.016520822420378993,0.16970398481995655
20600,0.9009493950531164,0.7818446601941748,1909,16106,0.04356779084634721,0.1626725257052889,0.04612704935046535,0.17222823272440074
21100,0.9565475944350297,0.7870142180094787,2076,16606,0.012030408535566028,0.15750296788998497,0.012737098609920445,0.16675500482290845
